customer_id,age,location,transaction_frequency,average_transaction_value,merchant_categories,total_spend,account_age_days,preferred_payment_methods,last_transaction_date,created_at,updated_at
adefae0fa211334a,36,BGC,78,2550.3,Dining|Entertainment|Shopping,171551.4,360,Credit Card|E-wallet Balance,2026-03-17T13:08:04.537938,2025-04-01T13:08:04.537952,2026-03-27T13:08:04.537953
7dce865656c6e8a8,37,BGC,85,2428.6,Entertainment|Dining|Shopping,233881.63,835,Credit Card|E-wallet Balance,2026-03-26T13:08:04.537995,2023-12-13T13:08:04.537999,2026-03-27T13:08:04.538000
09c69ca431de94af,41,BGC,70,3852.44,Entertainment|Dining|Shopping,247151.33,540,E-wallet Balance|Credit Card,2026-03-18T13:08:04.538031,2024-10-03T13:08:04.538034,2026-03-27T13:08:04.538035
2072b0d2e072aaae,41,Makati,65,2698.31,Entertainment|Shopping|Dining,176389.04,861,Credit Card|E-wallet Balance,2026-03-03T13:08:04.538066,2023-11-17T13:08:04.538069,2026-03-27T13:08:04.538070
e8c05962d833a285,32,Makati,86,3822.63,Shopping|Dining|Entertainment,386895.5,43,Credit Card|E-wallet Balance,2026-03-10T13:08:04.538095,2026-02-12T13:08:04.538097,2026-03-27T13:08:04.538098
b691e92230a5d122,39,Makati,58,2047.9,Shopping|Dining|Entertainment,124004.21,805,E-wallet Balance|Credit Card,2026-03-13T13:08:04.538122,2024-01-12T13:08:04.538125,2026-03-27T13:08:04.538125
2ff7f151fa448616,32,Makati,63,3173.18,Shopping|Entertainment|Dining,176556.25,732,Credit Card|E-wallet Balance,2026-03-10T13:08:04.538148,2024-03-25T13:08:04.538150,2026-03-27T13:08:04.538151
146a65fc40e9b099,39,Taguig,93,4818.5,Entertainment|Shopping|Dining,417027.97,1046,Credit Card|E-wallet Balance,2026-02-26T13:08:04.538187,2023-05-16T13:08:04.538190,2026-03-27T13:08:04.538191
0a98af4575a68f1e,37,Makati,70,3166.03,Entertainment|Dining|Shopping,262866.6,217,Credit Card|E-wallet Balance,2026-02-28T13:08:04.538220,2025-08-22T13:08:04.538222,2026-03-27T13:08:04.538223
ffa05350bfdfe61e,42,Makati,90,2888.82,Dining|Entertainment|Shopping,288306.63,677,E-wallet Balance|Credit Card,2026-03-04T13:08:04.538246,2024-05-19T13:08:04.538249,2026-03-27T13:08:04.538250
57b638d0ee0f6379,44,BGC,60,2596.53,Dining|Shopping|Entertainment,129247.52,260,E-wallet Balance|Credit Card,2026-03-02T13:08:04.538271,2025-07-10T13:08:04.538273,2026-03-27T13:08:04.538274
ecb9f634a59950a2,38,BGC,77,4589.31,Entertainment|Shopping|Dining,335116.95,834,Credit Card|E-wallet Balance,2026-03-25T13:08:04.538296,2023-12-14T13:08:04.538298,2026-03-27T13:08:04.538299
428c41da66ba2f8f,41,BGC,89,2824.17,Dining|Shopping|Entertainment,272790.41,1058,E-wallet Balance|Credit Card,2026-03-02T13:08:04.538319,2023-05-04T13:08:04.538322,2026-03-27T13:08:04.538322
35b9028849de903e,36,BGC,63,3481.39,Shopping|Dining|Entertainment,214005.3,893,Credit Card|E-wallet Balance,2026-03-21T13:08:04.538343,2023-10-16T13:08:04.538345,2026-03-27T13:08:04.538346
1701bd6188ff97d2,30,Makati,81,4086.55,Dining|Shopping|Entertainment,364846.44,1089,E-wallet Balance|Credit Card,2026-03-15T13:08:04.538366,2023-04-03T13:08:04.538369,2026-03-27T13:08:04.538369
0b1aa036039db767,36,BGC,71,4641.4,Entertainment|Shopping|Dining,378504.05,1081,E-wallet Balance|Credit Card,2026-03-16T13:08:04.538389,2023-04-11T13:08:04.538391,2026-03-27T13:08:04.538392
4cc96ef38bbb99bf,41,BGC,69,4677.68,Entertainment|Shopping|Dining,304207.21,219,Credit Card|E-wallet Balance,2026-03-27T13:08:04.538412,2025-08-20T13:08:04.538414,2026-03-27T13:08:04.538415
0a82deca83c4dba8,30,Taguig,76,3281.32,Dining|Entertainment|Shopping,215929.25,678,E-wallet Balance|Credit Card,2026-02-26T13:08:04.538435,2024-05-18T13:08:04.538437,2026-03-27T13:08:04.538438
22f932b9f861f86e,34,Makati,82,2359.6,Dining|Shopping|Entertainment,171720.71,471,Credit Card|E-wallet Balance,2026-03-08T13:08:04.538458,2024-12-11T13:08:04.538460,2026-03-27T13:08:04.538461
