customer_id,age,location,transaction_frequency,average_transaction_value,merchant_categories,total_spend,account_age_days,preferred_payment_methods,last_transaction_date,created_at,updated_at
7dbd981a241f130f,18,Manila,42,577.82,Gaming|Dining|Entertainment,20340.69,678,Prepaid Card|E-wallet Balance,2026-03-12T13:08:13.964254,2024-05-18T13:08:13.964267,2026-03-27T13:08:13.964269
0d4b26a1f3f1c641,18,Quezon City,44,333.22,Entertainment|Dining|Gaming,14897.16,1051,E-wallet Balance|Prepaid Card,2026-03-18T13:08:13.964312,2023-05-11T13:08:13.964316,2026-03-27T13:08:13.964317
912de272fbeb9024,18,Pasig,43,576.0,Entertainment|Dining|Gaming,22782.48,633,Prepaid Card|E-wallet Balance,2026-03-08T13:08:13.964345,2024-07-02T13:08:13.964348,2026-03-27T13:08:13.964349
58b5260c30fa8bd2,18,Pasig,47,272.35,Dining|Entertainment|Gaming,13275.99,447,E-wallet Balance|Prepaid Card,2026-03-09T13:08:13.964374,2025-01-04T13:08:13.964376,2026-03-27T13:08:13.964377
9101a86c4ee3aaaf,18,Quezon City,55,341.57,Gaming|Entertainment|Dining,21867.67,775,E-wallet Balance|Prepaid Card,2026-03-25T13:08:13.964399,2024-02-11T13:08:13.964402,2026-03-27T13:08:13.964403
bae030a6b0e4a222,18,Quezon City,49,340.09,Dining|Entertainment|Gaming,19173.16,493,Prepaid Card|E-wallet Balance,2026-03-06T13:08:13.964424,2024-11-19T13:08:13.964426,2026-03-27T13:08:13.964427
0d5cc8d96a56e48c,18,Pasig,50,574.43,Entertainment|Gaming|Dining,30197.49,322,Prepaid Card|E-wallet Balance,2026-02-28T13:08:13.964449,2025-05-09T13:08:13.964451,2026-03-27T13:08:13.964452
99ec58817aa66f9f,18,Quezon City,45,233.41,Dining|Entertainment|Gaming,9192.15,306,Prepaid Card|E-wallet Balance,2026-03-20T13:08:13.964477,2025-05-25T13:08:13.964479,2026-03-27T13:08:13.964480
c2ad7e1469c807f9,18,Quezon City,63,335.67,Gaming|Entertainment|Dining,17844.37,766,E-wallet Balance|Prepaid Card,2026-03-18T13:08:13.964501,2024-02-20T13:08:13.964504,2026-03-27T13:08:13.964504
45f87da8b85b6e50,18,Manila,50,484.65,Entertainment|Gaming|Dining,28083.98,220,E-wallet Balance|Prepaid Card,2026-03-15T13:08:13.964525,2025-08-19T13:08:13.964528,2026-03-27T13:08:13.964528
b7e091b561fb7400,18,Quezon City,57,464.82,Entertainment|Dining|Gaming,22701.23,864,Prepaid Card|E-wallet Balance,2026-03-25T13:08:13.964549,2023-11-14T13:08:13.964552,2026-03-27T13:08:13.964552
613242c1e76fc4cf,18,Manila,54,479.37,Entertainment|Dining|Gaming,30148.95,492,E-wallet Balance|Prepaid Card,2026-03-05T13:08:13.964573,2024-11-20T13:08:13.964575,2026-03-27T13:08:13.964576
067cdaca0136c7c7,18,Quezon City,60,335.64,Entertainment|Dining|Gaming,18631.73,977,Prepaid Card|E-wallet Balance,2026-03-19T13:08:13.964596,2023-07-24T13:08:13.964598,2026-03-27T13:08:13.964599
faf736695503f7eb,18,Quezon City,56,389.6,Entertainment|Dining|Gaming,22978.99,987,E-wallet Balance|Prepaid Card,2026-03-13T13:08:13.964619,2023-07-14T13:08:13.964621,2026-03-27T13:08:13.964622
1b8a7e27ee51be91,18,Quezon City,42,409.92,Dining|Entertainment|Gaming,17960.05,684,E-wallet Balance|Prepaid Card,2026-03-19T13:08:13.964642,2024-05-12T13:08:13.964644,2026-03-27T13:08:13.964645
6ccd17532e2c6bcd,18,Quezon City,52,461.53,Entertainment|Gaming|Dining,26487.29,112,Prepaid Card|E-wallet Balance,2026-03-19T13:08:13.964666,2025-12-05T13:08:13.964668,2026-03-27T13:08:13.964669
09ead27d28f25c86,18,Quezon City,45,266.5,Dining|Gaming|Entertainment,13422.13,146,Prepaid Card|E-wallet Balance,2026-02-28T13:08:13.964689,2025-11-01T13:08:13.964691,2026-03-27T13:08:13.964692
b1972391ebf46fe6,18,Manila,56,445.3,Dining|Gaming|Entertainment,22342.02,39,Prepaid Card|E-wallet Balance,2026-03-17T13:08:13.964712,2026-02-16T13:08:13.964714,2026-03-27T13:08:13.964715
26b958e6debf04d5,18,Pasig,69,582.94,Gaming|Entertainment|Dining,46076.26,609,E-wallet Balance|Prepaid Card,2026-03-25T13:08:13.964736,2024-07-26T13:08:13.964738,2026-03-27T13:08:13.964738
92310d321f15b662,18,Quezon City,47,498.43,Dining|Gaming|Entertainment,25752.61,86,E-wallet Balance|Prepaid Card,2026-03-04T13:08:13.964759,2025-12-31T13:08:13.964761,2026-03-27T13:08:13.964761
c947316d6452819e,18,Manila,66,311.62,Dining|Entertainment|Gaming,19660.57,426,E-wallet Balance|Prepaid Card,2026-03-25T13:08:13.964782,2025-01-25T13:08:13.964784,2026-03-27T13:08:13.964785
